reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
DKI,1,NA,NA,NA,NA
MANAO,3,3,NA,3,NA
SHKK,0,0,0,0,0
MI1PP,2,NA,NA,0,0
RMI,1,1,NA,1,NA
TARTDC,0,NA,NA,NA,NA
DHQTi,2,2,2,2,2
ISOMS,1,NA,NA,NA,NA
MALT,0,NA,NA,NA,0
MLTG2,3,1,NA,1,NA
MLTG3,4,0,NA,0,NA
MLTG4,5,0,NA,0,NA
MLTG5,6,0,NA,0,NA
MLTG6,0,NA,NA,NA,NA
MLTG7,0,NA,NA,NA,NA
MPL,0,NA,NA,NA,NA
PGMT_B,0,NA,NA,NA,NA
BLACT,1,NA,NA,NA,NA
APRAUR,1,1,1,1,NA
FLVR_1,0,NA,NA,NA,NA
D4DGCD,0,NA,NA,NA,NA
ALDD32,1,NA,NA,NA,NA
DHBS,0,0,NA,0,NA
ARABRr,3,NA,NA,NA,NA
ADK2,0,NA,0,NA,NA
IPPMIa,2,2,2,2,2
HEMEDS,0,NA,NA,NA,NA
HEMEOS_1,1,NA,NA,NA,NA
HMPK1,1,0,0,0,1
GUI2,3,0,NA,3,NA
GUI1,3,3,NA,3,NA
SHK3Dr,1,1,1,1,1
TARTRDH,3,NA,NA,NA,NA
TMPHi,0,NA,NA,NA,NA
HEMEAS,0,NA,NA,NA,NA
PMPK,0,1,0,1,0
TMN,1,NA,NA,2,1
